-DOCSTART- -X- -X- O
MATURITY NNP I-NP O
24.SEP.02 CD B-NP O

TYPE NNP B-NP O
STRAIGHT NNP I-NP O
ISS NNP I-NP O
PRICE NNP I-NP O
100.92 CD I-NP O
PAY NN I-NP O
DATE NNP I-NP O
24.SEP.96 CD I-NP O

FULL NNP B-NP O
FEES NNS I-NP O
1.875 CD B-NP O
REOFFER NNP I-NP O
99.32 CD I-NP O
SPREAD NNP I-NP O
+20 CD I-NP O
BP NNP I-NP O

MOODY NNP B-NP O
AA1 NNP B-NP O
LISTING NNP I-NP O
LUX NNP I-NP O
PAY NN I-NP O
FREQ NNS I-NP O
= SYM B-VP O

S&P NNP B-NP B-ORG
= SYM B-VP O
DENOMS NNP B-NP O
( ( O O
K NNP B-NP O
) ) O O
1-10-100 CD B-NP O
SALE NNP I-NP O
LIMITS VBZ B-VP O
US NNP B-NP B-LOC
/ SYM O O
UK NNP B-NP B-LOC
/ SYM O O
CA VBN B-ADJP B-LOC

NEG NNP B-NP O
PLG NNP I-NP O
NO DT I-NP O
CRS NNP I-NP O
DEFLT NNP I-NP O
NO DT I-NP O
FORCE VBP B-VP O
MAJ MD I-VP O
= SYM I-VP O

GOV NNP B-NP O
LAW NNP I-NP O
GERMAN NNP I-NP B-MISC
HOME NNP I-NP O
CTRY NNP I-NP O
= SYM B-VP O
TAX NN B-NP O
PROVS NNS I-NP O
STANDARD VBD B-VP O

MGT NNP B-NP O
/ SYM O O
UND NNP B-NP O
0.275 CD I-NP O
SELL VB B-VP O
CONC NNP B-NP O
1.60 CD I-NP O
PRAECIP NNP I-NP O
= SYM B-VP O

UNDERLYING VBG B-VP O
GOVT JJ B-NP O
BOND NN I-NP O
7.0 CD I-NP O
PCT NNP I-NP O
SEPT NNP I-NP O
2001 CD I-NP O

NOTES NNS B-NP O
BAYERISCHE VBP B-VP B-ORG
VEREINSBANK NNP B-NP I-ORG
IS VBZ B-VP O
JOINT VBZ I-VP O
LEAD NNP B-NP O
MANAGER NN I-NP O

-- : B-NP O
London NNP I-NP B-ORG
Newsroom NNP I-NP I-ORG
+44 CD I-NP O
171 CD I-NP O
542 CD I-NP O
7658 CD I-NP O

-DOCSTART- -X- -X- O

Venantius JJ B-NP B-ORG
sets NNS I-NP O
$ $ B-NP O
300 CD I-NP O
million CD I-NP O
January NNP I-NP O
1999 CD I-NP O
FRN NNP I-NP O
. . O O

LONDON NNP B-NP B-LOC
1996-08-22 CD I-NP O

The DT B-NP O
following VBG I-NP O
floating-rate NN I-NP O
issue NN I-NP O
was VBD B-VP O
announced VBN I-VP O
by IN B-PP O
lead NN B-NP O
manager NN I-NP O
Lehman NNP I-NP B-ORG
Brothers NNPS I-NP I-ORG
International NNP I-NP I-ORG
. . O O

BORROWER NNP B-NP O
VENANTIUS NNP I-NP B-ORG
AB NNP I-NP I-ORG
( ( O O
SWEDISH NNP B-NP B-MISC
NATIONAL NNP I-NP O
MORTGAGE NNP I-NP O
AGENCY NN I-NP O
) ) O O

AMT NNP O O
$ $ B-NP O
300 CD I-NP O
MLN NNP I-NP O
SPREAD NNP I-NP O
- : O O
12.5 CD B-NP O
BP NNP I-NP O
MATURITY NNP I-NP O
21.JAN.99 CD I-NP O

TYPE NNP B-NP O
FRN NNP I-NP O
BASE NNP I-NP O
3M NNP I-NP B-ORG
LIBOR NNP I-NP O
PAY NN I-NP O
DATE NNP I-NP O
S23.SEP.96 NNP I-NP O

LAST NNS B-NP O
MOODY NNP I-NP O
AA3 NNP B-NP O
ISS NNP I-NP O
PRICE NNP I-NP O
99.956 CD I-NP O
FULL NNP I-NP O
FEES NNS I-NP O
10 CD B-NP O
BP NNP I-NP O

LAST NNP B-NP O
S&P NNP I-NP B-ORG
AA+ NNP I-NP O
REOFFER NN I-NP O
= SYM B-VP O

NOTES NNS B-NP O
S NNP I-NP O
SHORT NNP I-NP O
FIRST NNP I-NP O
COUPON NNP I-NP O

LISTING VBG B-VP O
LONDON NNP B-NP B-LOC
DENOMS NNP I-NP O
( ( O O
K NNP B-NP O
) ) O O
1-10-100 CD B-NP O
SALE NNP I-NP O
LIMITS VBZ B-VP O
US NNP B-NP B-LOC
/ SYM O O
UK NNP B-NP B-LOC
/ SYM O O
JP NNP B-NP B-LOC
/ SYM O O
FR VBN B-ADJP B-LOC

NEG NNP B-NP O
PLG NNP I-NP O
YES NNP I-NP O
CRS NNP I-NP O
DEFLT NNP I-NP O
NO DT I-NP O
FORCE VBP B-VP O
MAJ MD I-VP O
IPMA NNP B-NP O
2 CD I-NP O

GOV NNP B-NP O
LAW NNP I-NP O
ENGLISH NNP I-NP B-MISC
HOME NNP I-NP O
CTRY NNP I-NP O
SWEDEN NNP I-NP B-LOC
TAX NN I-NP O
PROVS NNS I-NP O
STANDARD VBD B-VP O

MGT NNP B-NP O
/ SYM O O
UND NNP B-NP O
5 CD I-NP O
BP NNP I-NP O
SELL VB B-VP O
CONC NNP B-NP O
5 CD I-NP O
BP NNP I-NP O
PRAECIP NNP I-NP O
= SYM B-VP O

NOTES NNS B-NP O
ISSUED VBD B-VP O
OFF NN B-NP O
EMTN NNP I-NP O
PROGRAMME NNP I-NP O

-- : B-NP O
London NNP I-NP B-ORG
Newsroom NNP I-NP I-ORG
+44 CD I-NP O
171 CD I-NP O
542 CD I-NP O
8863 CD I-NP O

-DOCSTART- -X- -X- O

Port NN B-NP O
conditions NNS I-NP O
update VBP B-VP O
- : O O
Syria NNP B-NP B-LOC
- : O O
Lloyds NNP B-NP B-ORG
Shipping NNP I-NP I-ORG
. . O O

Port NN B-NP O
conditions NNS I-NP O
from IN B-PP O
Lloyds NNP B-NP B-ORG
Shipping NNP I-NP I-ORG
Intelligence NNP I-NP I-ORG
Service NNP I-NP I-ORG
-- : O O

LATTAKIA NNP B-NP B-LOC
, , O O
Aug NNP B-NP O
10 CD I-NP O
- : I-NP O
waiting VBG B-VP O
time NN B-NP O
at IN B-PP O
Lattakia NNP B-NP B-LOC
and CC I-NP O
Tartous NNP I-NP B-LOC
presently RB B-ADVP O
24 CD B-NP O
hours NNS I-NP O
. . O O

-DOCSTART- -X- -X- O

Israel NNP B-NP B-LOC
plays VBZ B-VP O
down RP B-PRT O
fears NNS B-NP O
of IN B-PP O
war NN B-NP O
with IN B-PP O
Syria NNP B-NP B-LOC
. . O O

Colleen NNP B-NP B-PER
Siegel NNP I-NP I-PER

JERUSALEM VBN B-NP B-LOC
1996-08-22 CD I-NP O

Israel NNP B-NP B-LOC
's POS B-NP O
outgoing JJ I-NP O
peace NN I-NP O
negotiator NN I-NP O
with IN B-PP O
Syria NNP B-NP B-LOC
said VBD B-VP O
on IN B-PP O
Thursday NNP B-NP O
current JJ I-NP O
tensions NNS I-NP O
between IN B-PP O
the DT B-NP O
two CD I-NP O
countries NNS I-NP O
appeared VBD B-VP O
to TO I-VP O
be VB I-VP O
a DT B-NP O
storm NN I-NP O
in IN B-PP O
a DT B-NP O
teacup NN I-NP O
. . O O

Itamar NNP B-NP B-PER
Rabinovich NNP I-NP I-PER
, , O O
who WP B-NP O
as IN B-PP O
Israel NNP B-NP B-LOC
's POS B-NP O
ambassador NN I-NP O
to TO B-PP O
Washington NNP B-NP B-LOC
conducted VBD B-VP O
unfruitful JJ B-NP O
negotiations NNS I-NP O
with IN B-PP O
Syria NNP B-NP B-LOC
, , O O
told VBD B-VP O
Israel NNP B-NP B-ORG
Radio NNP I-NP I-ORG
it PRP B-NP O
looked VBD B-VP O
like IN B-PP O
Damascus NNP B-NP B-LOC
wanted VBD B-VP O
to TO I-VP O
talk VB I-VP O
rather RB B-CONJP O
than IN I-CONJP O
fight NN B-NP O
. . O O

" " O O
It PRP B-NP O
appears VBZ B-VP O
to TO B-PP O
me PRP B-NP O
the DT B-NP O
Syrian JJ I-NP B-MISC
priority NN I-NP O
is VBZ B-VP O
still RB B-ADVP O
to TO B-VP O
negotiate VB I-VP O
. . O O

The DT B-NP O
Syrians NNPS I-NP B-MISC
are VBP B-VP O
confused VBN B-ADJP O
, , O O
they PRP B-NP O
are VBP B-VP O
definitely RB I-VP O
tense JJ B-NP O
, , O O
but CC O O
the DT B-NP O
general JJ I-NP O
assessment NN I-NP O
here RB B-ADVP O
in IN B-PP O
Washington NNP B-NP B-LOC
is VBZ B-VP O
that IN B-SBAR O
this DT B-NP O
is VBZ B-VP O
essentially RB B-ADVP O
a DT B-NP O
storm NN I-NP O
in IN B-PP O
a DT B-NP O
teacup NN I-NP O
, , O O
" " O O
he PRP B-NP O
said VBD B-VP O
. . O O

Rabinovich NN B-NP B-PER
is VBZ B-VP O
winding VBG I-VP O
up RP B-PRT O
his PRP$ B-NP O
term NN I-NP O
as IN B-PP O
ambassador NN B-NP O
. . O O

He PRP B-NP O
will MD B-VP O
be VB I-VP O
replaced VBN I-VP O
by IN B-PP O
Eliahu NNP B-NP B-PER
Ben-Elissar NNP I-NP I-PER
, , O O
a DT B-NP O
former JJ I-NP O
Israeli JJ I-NP B-MISC
envoy NN I-NP O
to TO B-PP O
Egypt NNP B-NP B-LOC
and CC O O
right-wing JJ B-NP O
Likud NNP I-NP B-ORG
party NN I-NP O
politician NN I-NP O
. . O O

Israel NNP B-NP B-LOC
on IN B-PP O
Wednesday NNP B-NP O
sent VBD B-VP O
Syria NNP B-NP B-LOC
a DT B-NP O
message NN I-NP O
, , O O
via IN B-PP O
Washington NNP B-NP B-LOC
, , O O
saying VBG B-VP O
it PRP B-NP O
was VBD B-VP O
committed VBN I-VP O
to TO B-PP O
peace NN B-NP O
and CC O O
wanted VBD B-VP O
to TO I-VP O
open VB I-VP O
negotiations NNS B-NP O
without IN B-PP O
preconditions NNS B-NP O
. . O O

But CC O O
it PRP B-NP O
slammed VBD B-VP O
Damascus NNP B-NP B-LOC
for IN B-PP O
creating VBG B-VP O
what WP B-NP O
it PRP B-NP O
called VBD B-VP O
a DT B-NP O
dangerous JJ I-NP O
atmosphere NN I-NP O
. . O O
